date,equity,cash,invested,drawdown
2024-05-01,1085.9185561700554,727.1703446958622,358.74821147419317,-0.6112217970017114
2024-05-02,1077.664295310537,727.1703446958622,350.49395061467476,-0.6141769695473955
2024-05-03,1103.5022127069285,727.1703446958622,376.33186801106626,-0.6049265344779222
2024-05-04,1109.3981133208702,727.1703446958622,382.22776862500797,-0.6028156969452907
2024-05-05,1107.21316191688,727.1703446958622,380.0428172210178,-0.6035979485015013
2024-05-06,1093.3751363582758,727.1703446958622,366.2047916624135,-0.608552208357501
2024-05-07,1096.253723128612,727.1703446958622,369.0833784327497,-0.6075216229739221
2024-05-08,1101.4213066078903,727.1703446958622,374.25096191202806,-0.6056715359600274
2024-05-09,1110.4385663703893,727.1703446958622,383.26822167452707,-0.6024431962042381
2024-05-10,1090.461867819622,727.1703446958622,363.29152312375993,-0.6095952104324484
2024-05-11,1076.5891604927006,727.1703446958622,349.4188157968384,-0.6145618869798166
2024-05-12,1067.9050164203334,0.0,1067.9050164203334,-0.6176709653797113
2024-05-13,1030.2280398950277,0.0,1030.2280398950277,-0.6311599946855363
2024-05-14,966.2004440327803,311.25077334843104,654.9496706843493,-0.6540830154960647
2024-05-15,1032.0607374568442,311.25077334843104,720.8099641084132,-0.6305038562848487
2024-05-16,1021.7685113617262,311.25077334843104,710.5177380132951,-0.634188656717972
2024-05-17,1059.8701777425854,311.25077334843104,748.6194043941543,-0.620547580872436
2024-05-18,1054.4554104662277,311.25077334843104,743.2046371177967,-0.6224861640925081
2024-05-19,1053.9190613073763,311.25077334843104,742.6682879589453,-0.6226781866534756
2024-05-20,1089.1743520530365,311.25077334843104,777.9235787046055,-0.6100561640308753
2024-05-21,1052.7749248241005,311.25077334843104,741.5241514756694,-0.6230878079122941
2024-05-22,1057.330415732506,311.25077334843104,746.079642384075,-0.6214568609512334
2024-05-23,1001.9564990462238,311.25077334843104,690.7057256977928,-0.641281710337911
2024-05-24,989.8377296018627,311.25077334843104,678.5869562534317,-0.6456204458539025
2024-05-25,982.6099468778017,311.25077334843104,671.3591735293707,-0.6482081209269147
2024-05-26,953.6868963382491,0.0,953.6868963382491,-0.6585630886637723
2024-05-27,944.3065357983862,0.0,944.3065357983862,-0.6619214249712632
2024-05-28,937.5884632603411,0.0,937.5884632603411,-0.6643266147105058
2024-05-29,919.7998170378773,0.0,919.7998170378773,-0.6706952671963177
2024-05-30,921.0632309419366,0.0,921.0632309419366,-0.6702429424943662
2024-05-31,921.3610871414605,0.0,921.3610871414605,-0.6701363046647197
2024-06-01,918.6438881143496,0.0,918.6438881143496,-0.6711091103589836
2024-06-02,864.7659182334572,0.0,864.7659182334572,-0.690398384119408
2024-06-03,862.2772148148074,270.06513521925086,592.2120795955566,-0.691289384312195
2024-06-04,873.0238845496135,270.06513521925086,602.9587493303627,-0.6874418849541863
2024-06-05,874.9048013625018,270.06513521925086,604.839666143251,-0.6867684832019563
2024-06-06,912.3934591971895,270.06513521925086,642.3283239779387,-0.6733468753447412
2024-06-07,858.3759229419896,532.6948827748197,325.68104016716995,-0.6926861163553745
2024-06-08,852.8206555530326,532.6948827748197,320.12577277821293,-0.6946750011206105
2024-06-09,840.0249622379183,0.0,840.0249622379183,-0.6992560874506136
2024-06-10,808.2914277218152,0.0,808.2914277218152,-0.7106172585567299
2024-06-11,732.9053112449196,231.6580841199018,501.2472271250179,-0.7376068322484031
2024-06-12,741.0073425320946,473.1753535963808,267.83198893571387,-0.7347061606035854
2024-06-13,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-14,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-15,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-16,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-17,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-18,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-19,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-20,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-21,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-22,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-23,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-24,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-25,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-26,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-27,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-28,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-29,716.2241896480987,716.2241896480987,0.0,-0.7435789711731499
2024-06-30,714.7946004472044,0.0,714.7946004472044,-0.7440907895939618
2024-07-01,716.2519285296607,0.0,716.2519285296607,-0.7435690401590185
2024-07-02,707.5462208753432,0.0,707.5462208753432,-0.7466858387056895
2024-07-03,685.604425994859,0.0,685.604425994859,-0.7545413924539173
2024-07-04,649.63730018298,0.0,649.63730018298,-0.7674182647209069
2024-07-05,644.8408028014181,0.0,644.8408028014181,-0.7691354962960506
2024-07-06,663.0755094083935,0.0,663.0755094083935,-0.7626071462401642
2024-07-07,636.0615341265296,0.0,636.0615341265296,-0.772278630999541
2024-07-08,645.8181623053815,0.0,645.8181623053815,-0.7687855841691464
2024-07-09,661.0243411985726,0.0,661.0243411985726,-0.7633415010277589
2024-07-10,657.3331949419057,0.0,657.3331949419057,-0.7646629971938544
2024-07-11,652.9382086416646,0.0,652.9382086416646,-0.7662364806436964
2024-07-12,659.1921479772316,0.0,659.1921479772316,-0.7639974588655648
2024-07-13,674.1653456814319,0.0,674.1653456814319,-0.7586367871434531
2024-07-14,692.3152179844982,0.0,692.3152179844982,-0.7521388092808025
2024-07-15,737.0238071170403,0.0,737.0238071170403,-0.7361323373011337
2024-07-16,740.6659886076925,0.0,740.6659886076925,-0.7348283713942211
2024-07-17,729.779868535585,0.0,729.779868535585,-0.7387257964591214
2024-07-18,728.6403559460288,0.0,728.6403559460288,-0.739133762281553
2024-07-19,759.0677447768622,0.0,759.0677447768622,-0.728240214616889
2024-07-20,764.5331236364949,0.0,764.5331236364949,-0.7262835115476948
2024-07-21,776.209284514672,0.0,776.209284514672,-0.722103237789277
